DATABASE	NAME	EC NUMBER(S)	KEGG ID(S)	DELTAG (kcal/mol)	DELTAG ERROR (kcal/mol)	EQUATION	NAME EQ	THERMODYNAMIC FEASIBILTY
rxn05641	Puromycin efflux  via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd01132_c0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd01132_e0	H2O + ATP + Puromycin <=> ADP + Phosphate + H+ + Puromycin	=>
rxn05640	O-Phospho-L-serine transport in via proton symport			0	2	cpd00067_e0 + cpd00738_e0 <=> cpd00067_c0 + cpd00738_c0	H+ + phosphoserine <=> H+ + phosphoserine	<=>
rxn05639	D-O-Phosphoserine transport in/out via proton symport			0	2	cpd00067_e0 + cpd01665_e0 <=> cpd00067_c0 + cpd01665_c0	H+ + D-O-Phosphoserine <=> H+ + D-O-Phosphoserine	<=>
rxn05638	L-proline transport in via proton symport			0	2	cpd00067_e0 + cpd00129_e0 <=> cpd00067_c0 + cpd00129_c0	H+ + L-Proline <=> H+ + L-Proline	<=>
rxn05637	proline betaine transport in via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11573_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11573_c0	H2O + ATP + Octodecanoyl-ACP => ADP + Phosphate + H+ + Octodecanoyl-ACP	=>
rxn05636	Uric acid permease			0	2	cpd00067_e0 + cpd00300_e0 <=> cpd00067_c0 + cpd00300_c0	H+ + Urate <=> H+ + Urate	<=>
rxn05635	diphosphate transport in via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd00012_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00012_c0 + cpd00067_c0	H2O + ATP + PPi <=> ADP + Phosphate + PPi + H+	=>
rxn05634	propionate transport in/out via proton symport	|TC-2.A.20|2.A.20|		0	2	cpd00067_e0 + cpd00141_e0 <=> cpd00067_c0 + cpd00141_c0	H+ + Propanoate <=> H+ + Propanoate	<=>
rxn05630	Phosphoenolpyruvate transport in via proton symport			0	2	cpd00061_e0 + cpd00067_e0 <=> cpd00061_c0 + cpd00067_c0	PEP + H+ <=> PEP + H+	<=>
rxn05628	ornithine transport in via proton symport			0	2	cpd00064_e0 + cpd00067_e0 <=> cpd00064_c0 + cpd00067_c0	Ornithine + H+ <=> Ornithine + H+	<=>
rxn05629	Palatinose transport in via proton symport			0	2	cpd00067_e0 + cpd01200_e0 <=> cpd00067_c0 + cpd01200_c0	H+ + Palatinose <=> H+ + Palatinose	<=>
rxn05627	nitrate transport in via proton symport			0	2	cpd00067_e0 + cpd00209_e0 <=> cpd00067_c0 + cpd00209_c0	H+ + Nitrate <=> H+ + Nitrate	<=>
rxn05626	nitrite transport out via proton antiport			0	2	cpd00067_e0 + cpd00075_c0 <=> cpd00067_c0 + cpd00075_e0	H+ + Nitrite <=> H+ + Nitrite	<=>
rxn05623	Nicotinic acid uptake			0	2	cpd08325_e0 <=> cpd08325_c0	NAC => NAC	<=>
rxn05625	nitrite transport in via proton symport			0	2	cpd00067_e0 + cpd00075_e0 <=> cpd00067_c0 + cpd00075_c0	H+ + Nitrite <=> H+ + Nitrite	<=>
rxn05622	sodium transport out via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd00971_c0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00971_e0	H2O + ATP + Na+ <=> ADP + Phosphate + H+ + Na+	=>
rxn05621	methanesulfonate transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd08023_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd08023_c0	H2O + ATP + methanesulfonate <=> ADP + Phosphate + H+ + methanesulfonate	=>
rxn05620	MOPS transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11575_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11575_c0	H2O + ATP + MOPS <=> ADP + Phosphate + H+ + MOPS	=>
rxn05618	manganese transport in via proton symport	|TC-2.A.55|2.A.55|		0	2	cpd00030_e0 + cpd00067_e0 <=> cpd00030_c0 + cpd00067_c0	Mn2+ + H+ <=> Mn2+ + H+	=>
rxn05619	molybdate transport via ABC system	|TC-3.A.1.8|3.A.1.8|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11574_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11574_c0	H2O + ATP + Molybdate <=> ADP + Phosphate + H+ + Molybdate	=>
rxn05617	mannitol transport via PEP:Pyr PTS			-9.11	0.635473	cpd00061_c0 + cpd00314_e0 <=> cpd00020_c0 + cpd00491_c0	PEP + MNTL <=> Pyruvate + D-Mannitol 1-phosphate	<=>
rxn05616	magnesium transport in/out via permease (no H+)	|TC-1.A.35|1.A.35|		0	2	cpd00254_c0 <=> cpd00254_e0	Mg <=> Mg	<=>
rxn05615	L-methionine transport out via proton antiport			0	2	cpd00060_c0 + cpd00067_e0 <=> cpd00060_e0 + cpd00067_c0	Methionine + H+ <=> Methionine + H+	<=>
rxn05614	L-methionine R-oxide transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11576_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11576_c0	H2O + ATP + L-methionine R-oxide <=> ADP + Phosphate + H+ + L-methionine R-oxide	=>
rxn05612	melibiose transport in via symport			0	2	cpd00067_e0 + cpd03198_e0 <=> cpd00067_c0 + cpd03198_c0	H+ + Melibiose <=> H+ + Melibiose	<=>
rxn05613	L-methionine S-oxide transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd01914_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd01914_c0	H2O + ATP + L-Methionine S-oxide <=> ADP + Phosphate + H+ + L-Methionine S-oxide	=>
rxn05611	D-mannose transport in via proton symport			0	2	cpd00067_e0 + cpd00138_e0 <=> cpd00067_c0 + cpd00138_c0	H+ + MANN <=> H+ + MANN	<=>
rxn05610	D-mannose transport via PEP:Pyr PTS			-9.11	0.635473	cpd00061_c0 + cpd00138_e0 <=> cpd00020_c0 + cpd00235_c0	PEP + MANN <=> Pyruvate + D-Mannose6-phosphate	<=>
rxn05609	MAN1P transport in/out via proton symport			0	2	cpd00067_e0 + cpd00485_e0 <=> cpd00067_c0 + cpd00485_c0	H+ + D-Mannose1-phosphate <=> H+ + D-Mannose1-phosphate	<=>
rxn05608	Maltotriose transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd01262_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd01262_c0	H2O + ATP + Maltotriose <=> ADP + Phosphate + H+ + Maltotriose	=>
rxn05607	maltose transport via PEP:Pyr PTS			-9.11	0.635473	cpd00061_c0 + cpd00179_e0 <=> cpd00020_c0 + cpd01919_c0	PEP + Maltose <=> Pyruvate + Maltose 6-phosphate	<=>
rxn05605	L-malate transport in via proton symport	|TC-2.A.56|2.A.56|		0	2	cpd00067_e0 + cpd00130_e0 <=> cpd00067_c0 + cpd00130_c0	H+ + MALA <=> H+ + MALA	<=>
rxn05603	D-malate transport in via proton symport			0	2	cpd00067_e0 + cpd00386_e0 <=> cpd00067_c0 + cpd00386_c0	H+ + D-Malate <=> H+ + D-Malate	<=>
rxn05604	malate-H+/Na+-lactate antiporter			0	2	(2) cpd00067_e0 + cpd00130_e0 + cpd00159_c0 + cpd00971_c0 <=> (2) cpd00067_c0 + cpd00130_c0 + cpd00159_e0 + cpd00971_e0	2 H+ + MALA + LCTT + Na+ <=> 2 H+ + MALA + LCTT + Na+	<=>
rxn05602	L-lactate reversible transport via proton symport			0	2	cpd00067_e0 + cpd00159_e0 <=> cpd00067_c0 + cpd00159_c0	H+ + LCTT <=> H+ + LCTT	<=>
rxn05601	lipoic acid transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd00541_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00541_c0	H2O + ATP + Lipoate <=> ADP + Phosphate + H+ + Lipoate	=>
rxn05599	cysteate transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd00395_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00395_c0	H2O + ATP + L-Cysteate <=> ADP + Phosphate + H+ + L-Cysteate	=>
rxn05598	Lactose transport out via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd00208_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00208_c0	H2O + ATP + LACT <=> ADP + Phosphate + H+ + LACT	=>
rxn05596	potassium transport out via proton antiport	|TC-2.A.37|2.A.37|		0	2	cpd00067_e0 + cpd00205_c0 <=> cpd00067_c0 + cpd00205_e0	H+ + K+ <=> H+ + K+	<=>
rxn05597	lanthionine transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11577_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11577_c0	H2O + ATP + Lanthionine <=> ADP + Phosphate + H+ + Lanthionine	=>
rxn05595	potassium irreversible transport via proton symporter	|TC-2.A.37|2.A.37|		0	2	cpd00067_e0 + cpd00205_e0 <=> cpd00067_c0 + cpd00205_c0	H+ + K+ <=> H+ + K+	<=>
rxn05594	Isethionate transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd03048_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd03048_c0	H2O + ATP + Isethionate <=> ADP + Phosphate + H+ + Isethionate	=>
rxn05593	inositol transport in via proton symport			0	2	cpd00067_e0 + cpd00121_e0 <=> cpd00067_c0 + cpd00121_c0	H+ + Bios I <=> H+ + Bios I	<=>
rxn05589	isocitrate transport in via Mg complex			0	2	cpd00067_e0 + cpd00254_e0 + cpd00260_e0 <=> cpd00067_c0 + cpd00254_c0 + cpd00260_c0	H+ + Mg + Isocitrate <=> H+ + Mg + Isocitrate	<=>
rxn05590	isocitrate transport in/out via proton symport			0	2	cpd00067_e0 + cpd00260_e0 <=> cpd00067_c0 + cpd00260_c0	H+ + Isocitrate <=> H+ + Isocitrate	<=>
rxn05586	mercury transport			0	2	cpd00531_e0 <=> cpd00531_c0	Hg2+ <=> Hg2+	<=>
rxn05582	glycine transport in/out via proton symport	|TC-2.A.3.1|2.A.3.1|		0	2	cpd00033_e0 + cpd00067_e0 <=> cpd00033_c0 + cpd00067_c0	Gly + H+ <=> Gly + H+	<=>
rxn05585	hexanesulfonate transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11578_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11578_c0	H2O + ATP + hexanesulfonate <=> ADP + Phosphate + H+ + hexanesulfonate	=>
rxn05580	Glycogen transport in			0	2	cpd00155_e0 <=> cpd00155_c0	Glycogen <=> Glycogen	<=>
rxn05581	glycerol transport in/out via diffusion reversible			0	2	cpd00100_c0 <=> cpd00100_e0	GLYC <=> GLYC	<=>
rxn05579	betaine (glycine betaine) transport in/out via proton symport	|TC-2.A.1.6|2.A.1.6|		0	2	cpd00067_e0 + cpd00540_e0 <=> cpd00067_c0 + cpd00540_c0	H+ + BET <=> H+ + BET	<=>
rxn05578	glycerol-3-phosphate transport in via proton symport			0	2	cpd00067_e0 + cpd00080_e0 <=> cpd00067_c0 + cpd00080_c0	H+ + GLYC-3-P <=> H+ + GLYC-3-P	<=>
rxn05577	glyoxylate transport in via proton symport			0	2	cpd00040_e0 + cpd00067_e0 <=> cpd00040_c0 + cpd00067_c0	Glyoxylate + H+ <=> Glyoxylate + H+	<=>
rxn05573	D-glucose transport in via proton symport			0	2	cpd00027_e0 + cpd00067_e0 <=> cpd00027_c0 + cpd00067_c0	Glucose + H+ <=> Glucose + H+	<=>
rxn05574	glucuronate transport in via proton symport	|TC-2.A.1.14|2.A.1.14|		0	2	cpd00067_e0 + cpd00164_e0 <=> cpd00067_c0 + cpd00164_c0	H+ + Glucuronate <=> H+ + Glucuronate	<=>
rxn05572	glucarate transport in via proton symport	|TC-2.A.3.1|2.A.3.1|		0	2	cpd00067_e0 + cpd00609_e0 <=> cpd00067_c0 + cpd00609_c0	H+ + D-Glucarate <=> H+ + D-Glucarate	<=>
rxn05571	D-gluconate transport via proton symport			0	2	cpd00067_e0 + cpd00222_e0 <=> cpd00067_c0 + cpd00222_c0	H+ + GLCN <=> H+ + GLCN	<=>
rxn05569	D-glucosamine transport via PEP:Pyr PTS			-9.11	0.635473	cpd00061_c0 + cpd00276_e0 <=> cpd00020_c0 + cpd00288_c0	PEP + GLUM <=> Pyruvate + D-Glucosamine phosphate	<=>
rxn05570	gamma-butyrobetaine transport in via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd00870_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00870_c0	H2O + ATP + 4-Trimethylammoniobutanoate => ADP + Phosphate + H+ + 4-Trimethylammoniobutanoate	=>
rxn05568	D-glucosamine 6-phosphate reversible uniport			0	2	cpd00288_e0 <=> cpd00288_c0	D-Glucosamine phosphate <=> D-Glucosamine phosphate	<=>
rxn05567	Galactitol transport via PEP:Pyr PTS			-9.11	0.635473	cpd00061_c0 + cpd01171_e0 <=> cpd00020_c0 + cpd03752_c0	PEP + Dulcose <=> Pyruvate + Galactitol 1-phosphate	<=>
rxn05566	D-galactose transport in via proton symport			0	2	cpd00067_e0 + cpd00108_e0 <=> cpd00067_c0 + cpd00108_c0	H+ + GALC <=> H+ + GALC	<=>
rxn05564	4-aminobutyrate transport in via proton symport			0	2	cpd00067_e0 + cpd00281_e0 <=> cpd00067_c0 + cpd00281_c0	H+ + GABA <=> H+ + GABA	<=>
rxn05565	galactarate transport in via proton symport	|TC-2.A.3.1|2.A.3.1|		0	2	cpd00067_e0 + cpd00652_e0 <=> cpd00067_c0 + cpd00652_c0	H+ + D-Mucic acid <=> H+ + D-Mucic acid	<=>
rxn05563	Glucose-6-phosphate transport via phosphate antiport			0	2	(2) cpd00009_c0 + cpd00079_e0 <=> (2) cpd00009_e0 + cpd00079_c0	2 Phosphate + Robison ester <=> 2 Phosphate + Robison ester	<=>
rxn05562	Glucose-1-phosphate transport via phosphate antiport			0	2	(2) cpd00009_c0 + cpd00089_e0 <=> (2) cpd00009_e0 + cpd00089_c0	2 Phosphate + Cori ester <=> 2 Phosphate + Cori ester	<=>
rxn05561	fumarate transport in/out via proton symport	|TC-2.A.56|2.A.56|		0	2	cpd00067_e0 + cpd00106_e0 <=> cpd00067_c0 + cpd00106_c0	H+ + Fumarate <=> H+ + Fumarate	<=>
rxn05559	formate transport in via proton symport			0	2	cpd00047_e0 + cpd00067_e0 <=> cpd00047_c0 + cpd00067_c0	FORM + H+ <=> FORM + H+	<=>
rxn05560	D-fructose transport via PEP:Pyr PTS			-9.11	0.635473	cpd00061_c0 + cpd00082_e0 <=> cpd00020_c0 + cpd00802_c0	PEP + Levulose <=> Pyruvate + Fructose 1-phosphate	<=>
rxn05558	Ferroxamine transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd04761_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd04761_c0	H2O + ATP + Ferroxamine <=> ADP + Phosphate + H+ + Ferroxamine	=>
rxn05557	iron (III) dicitrate transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + (2) cpd00137_e0 + cpd10516_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + (2) cpd00137_c0 + cpd10516_c0	H2O + ATP + 2 Citrate + fe3 <=> ADP + Phosphate + H+ + 2 Citrate + fe3	=>
rxn05554	Fructose-6-phosphate transport via phosphate antiport			0	2	(2) cpd00009_c0 + cpd00072_e0 <=> (2) cpd00009_e0 + cpd00072_c0	2 Phosphate + Neuberg ester <=> 2 Phosphate + Neuberg ester	<=>
rxn05555	iron (II) transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd10515_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd10515_c0	H2O + ATP + Fe2+ <=> ADP + Phosphate + H+ + Fe2+	=>
rxn05553	ethanol transport out via proton antiport			0	2	cpd00067_e0 + cpd00363_c0 <=> cpd00067_c0 + cpd00363_e0	H+ + ETOH <=> H+ + ETOH	<=>
rxn05552	ethanesulfonate transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11579_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11579_c0	H2O + ATP + ethanesulfonate <=> ADP + Phosphate + H+ + ethanesulfonate	=>
rxn05550	ecotine transport in via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd03727_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd03727_c0	H2O + ATP + Ectoine <=> ADP + Phosphate + H+ + Ectoine	=>
rxn05551	ethanolamine transport in/out via proton symport	|TC-2.A.3.5|2.A.3.5|		0	2	cpd00067_e0 + cpd00162_e0 <=> cpd00067_c0 + cpd00162_c0	H+ + Ethanolamine <=> H+ + Ethanolamine	<=>
rxn05549	Deoxyribose transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd01242_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd01242_c0	H2O + ATP + Thyminose <=> ADP + Phosphate + H+ + Thyminose	=>
rxn05548	Djenkolate transporter via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd05190_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd05190_c0	H2O + ATP + Djenkolate <=> ADP + Phosphate + H+ + Djenkolate	=>
rxn05547	Dipeptide transport via ABC system (gly-gln)	|TC-3.A.1.5|3.A.1.5|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11580_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11580_c0	H2O + ATP + Gly-Gln <=> ADP + Phosphate + H+ + Gly-Gln	=>
rxn05546	Dipeptide transport via ABC system (gly-asn)	|TC-3.A.1.5|3.A.1.5|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11581_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11581_c0	H2O + ATP + gly-asn-L <=> ADP + Phosphate + H+ + gly-asn-L	=>
rxn05545	Dipeptide transport via ABC system (ala-thr)	|TC-3.A.1.5|3.A.1.5|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11582_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11582_c0	H2O + ATP + ala-L-Thr-L <=> ADP + Phosphate + H+ + ala-L-Thr-L	=>
rxn05544	Dipeptide transport via ABC system (ala-leu)	|TC-3.A.1.5|3.A.1.5|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11583_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11583_c0	H2O + ATP + Ala-Leu <=> ADP + Phosphate + H+ + Ala-Leu	=>
rxn05543	Dipeptide transport via ABC system (ala-his)	|TC-3.A.1.5|3.A.1.5|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11584_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11584_c0	H2O + ATP + Ala-His <=> ADP + Phosphate + H+ + Ala-His	=>
rxn05542	Dipeptide transport via ABC system (ala-gly)	|TC-3.A.1.5|3.A.1.5|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11585_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11585_c0	H2O + ATP + L-alanylglycine <=> ADP + Phosphate + H+ + L-alanylglycine	=>
rxn05541	Dipeptide transport via ABC system (ala-glu)	|TC-3.A.1.5|3.A.1.5|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11586_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11586_c0	H2O + ATP + ala-L-glu-L <=> ADP + Phosphate + H+ + ala-L-glu-L	=>
rxn05540	Dipeptide transport via ABC system (ala-gln)	|TC-3.A.1.5|3.A.1.5|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11587_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11587_c0	H2O + ATP + Ala-Gln <=> ADP + Phosphate + H+ + Ala-Gln	=>
rxn05539	Dipeptide transport via ABC system (cgly)	|TC-3.A.1.5|3.A.1.5|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd01017_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd01017_c0	H2O + ATP + Cys-Gly <=> ADP + Phosphate + H+ + Cys-Gly	=>
rxn05538	Dipeptide transport via ABC system (gly-pro-L)	|TC-3.A.1.5|3.A.1.5|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11588_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11588_c0	H2O + ATP + gly-pro-L <=> ADP + Phosphate + H+ + gly-pro-L	=>
rxn05537	Dipeptide transport via ABC system (gly-asp)	|TC-3.A.1.5|3.A.1.5|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11589_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11589_c0	H2O + ATP + gly-asp-L <=> ADP + Phosphate + H+ + gly-asp-L	=>
rxn05536	Dipeptide transport via ABC system (met-ala)	|TC-3.A.1.5|3.A.1.5|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11590_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11590_c0	H2O + ATP + met-L-ala-L <=> ADP + Phosphate + H+ + met-L-ala-L	=>
rxn05535	Dipeptide transport via ABC system (gly-met)	|TC-3.A.1.5|3.A.1.5|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11591_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11591_c0	H2O + ATP + Gly-Met <=> ADP + Phosphate + H+ + Gly-Met	=>
rxn05534	Dipeptide transport via ABC system (gly-glu)	|TC-3.A.1.5|3.A.1.5|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11592_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11592_c0	H2O + ATP + gly-glu-L <=> ADP + Phosphate + H+ + gly-glu-L	=>
rxn05532	Dihydroxyacetone transport via facilitated diffusion			0	2	cpd00157_e0 <=> cpd00157_c0	Glycerone <=> Glycerone	<=>
rxn05533	Dipeptide transport via ABC system (ala-asp)	|TC-3.A.1.5|3.A.1.5|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11593_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11593_c0	H2O + ATP + ala-L-asp-L <=> ADP + Phosphate + H+ + ala-L-asp-L	=>
rxn05529	Cys-Gly transport in via symport			0	2	cpd00067_e0 + cpd01017_e0 <=> cpd00067_c0 + cpd01017_c0	H+ + Cys-Gly <=> H+ + Cys-Gly	<=>
rxn05531	Dextrin transport in via proton symport			0	2	cpd00067_e0 + cpd11594_e0 <=> cpd00067_c0 + cpd11594_c0	H+ + Dextrin <=> H+ + Dextrin	<=>
rxn05527	cytosine transport in via proton symport			0	2	cpd00067_e0 + cpd00307_e0 <=> cpd00067_c0 + cpd00307_c0	H+ + Cytosine <=> H+ + Cytosine	<=>
rxn05528	Copper export via ATPase	|TC-3.A.3|3.A.3|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd00058_c0 <=> cpd00008_c0 + cpd00009_c0 + cpd00058_e0 + cpd00067_c0	H2O + ATP + Cu+ <=> ADP + Phosphate + Cu+ + H+	=>
rxn05526	chromate transport out via proton antiport	|TC-2.A.51|2.A.51|		0	2	cpd00067_e0 + cpd11595_c0 <=> cpd00067_c0 + cpd11595_e0	H+ + chromate <=> H+ + chromate	<=>
rxn05525	CMP transport in/out via proton symport			0	2	cpd00046_e0 + cpd00067_e0 <=> cpd00046_c0 + cpd00067_c0	CMP + H+ <=> CMP + H+	<=>
rxn05523	citrate transport in via Zn complex			0	2	cpd00034_e0 + cpd00067_e0 + cpd00137_e0 <=> cpd00034_c0 + cpd00067_c0 + cpd00137_c0	Zinc + H+ + Citrate <=> Zinc + H+ + Citrate	<=>
rxn05521	citrate transport in via Ni complex			0	2	cpd00067_e0 + cpd00137_e0 + cpd00244_e0 <=> cpd00067_c0 + cpd00137_c0 + cpd00244_c0	H+ + Citrate + Ni2+ <=> H+ + Citrate + Ni2+	<=>
rxn05522	citrate transport in via Co complex			0	2	cpd00067_e0 + cpd00137_e0 + cpd00149_e0 <=> cpd00067_c0 + cpd00137_c0 + cpd00149_c0	H+ + Citrate + Co2+ <=> H+ + Citrate + Co2+	<=>
rxn05520	citrate transport in via Mn complex			0	2	cpd00030_e0 + cpd00067_e0 + cpd00137_e0 <=> cpd00030_c0 + cpd00067_c0 + cpd00137_c0	Mn2+ + H+ + Citrate <=> Mn2+ + H+ + Citrate	<=>
rxn05519	chorismate transport in/out via proton symport			0	2	cpd00067_e0 + cpd00216_e0 <=> cpd00067_c0 + cpd00216_c0	H+ + Chorismate <=> H+ + Chorismate	<=>
rxn05518	cellobiose transport via PEP:Pyr PTS			-9.11	0.635473	cpd00061_c0 + cpd00158_e0 <=> cpd00020_c0 + cpd02760_c0	PEP + CELB <=> Pyruvate + cellobiose-6-phoshate	<=>
rxn05517	cadminum transport out via antiport			0	2	cpd00067_e0 + cpd00205_e0 + cpd01012_c0 <=> cpd00067_c0 + cpd00205_c0 + cpd01012_e0	H+ + K+ + Cd2+ <=> H+ + K+ + Cd2+	<=>
rxn05516	cadmium transport out via ABC system	|TC-3.A.3|3.A.3|		-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd01012_c0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd01012_e0	H2O + ATP + Cd2+ <=> ADP + Phosphate + H+ + Cd2+	=>
rxn05515	Cobalamin uptake in via ABC transport			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd00423_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00423_c0	H2O + ATP + Vitamin B12r <=> ADP + Phosphate + H+ + Vitamin B12r	=>
rxn05514	calcium transport in/out via proton antiporter	|TC-2.A.19|2.A.19|		0	2	cpd00063_c0 + cpd00067_e0 <=> cpd00063_e0 + cpd00067_c0	Ca2+ + H+ <=> Ca2+ + H+	<=>
rxn05513	calcium efflux  via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd00063_c0 <=> cpd00008_c0 + cpd00009_c0 + cpd00063_e0 + cpd00067_c0	H2O + ATP + Ca2+ <=> ADP + Phosphate + Ca2+ + H+	=>
rxn05512	butanesulfonate transport via ABC system			-6.817	0.717554	cpd00001_c0 + cpd00002_c0 + cpd11596_e0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd11596_c0	H2O + ATP + butanesulfonate <=> ADP + Phosphate + H+ + butanesulfonate	=>
rxn05511	Butanediol transport in/out via proton symport			0	2	cpd00067_e0 + cpd01947_e0 <=> cpd00067_c0 + cpd01947_c0	H+ + BDOH <=> H+ + BDOH	<=>
rxn05508	L-asparagine transport in via proton symport			0	2	cpd00067_e0 + cpd00132_e0 <=> cpd00067_c0 + cpd00132_c0	H+ + L-Asparagine <=> H+ + L-Asparagine	<=>
